VCD info: dumpfile waves/dump.vcd opened for output.
PASS: a=0000 b=0000 cin=0 | carry_out=0 sum=0000
PASS: a=0011 b=1001 cin=1 | carry_out=0 sum=1101
PASS: a=0011 b=1010 cin=0 | carry_out=0 sum=1101
PASS: a=0011 b=1010 cin=1 | carry_out=0 sum=1110
PASS: a=0011 b=1011 cin=0 | carry_out=0 sum=1110
PASS: a=0011 b=1011 cin=1 | carry_out=0 sum=1111
PASS: a=0011 b=1100 cin=0 | carry_out=0 sum=1111
PASS: a=0011 b=1100 cin=1 | carry_out=1 sum=0000
PASS: a=0011 b=1101 cin=0 | carry_out=1 sum=0000
PASS: a=0011 b=1101 cin=1 | carry_out=1 sum=0001
PASS: a=0011 b=1110 cin=0 | carry_out=1 sum=0001
PASS: a=0011 b=1110 cin=1 | carry_out=1 sum=0010
PASS: a=0011 b=1111 cin=0 | carry_out=1 sum=0010
PASS: a=0011 b=1111 cin=1 | carry_out=1 sum=0011
PASS: a=0100 b=0000 cin=0 | carry_out=0 sum=0100
PASS: a=0100 b=0000 cin=1 | carry_out=0 sum=0101
PASS: a=0100 b=0001 cin=0 | carry_out=0 sum=0101
PASS: a=0100 b=0001 cin=1 | carry_out=0 sum=0110
PASS: a=0100 b=0010 cin=0 | carry_out=0 sum=0110
PASS: a=0100 b=0010 cin=1 | carry_out=0 sum=0111
PASS: a=0100 b=0011 cin=0 | carry_out=0 sum=0111
PASS: a=0100 b=0011 cin=1 | carry_out=0 sum=1000
PASS: a=0100 b=0100 cin=0 | carry_out=0 sum=1000
PASS: a=0100 b=0100 cin=1 | carry_out=0 sum=1001
PASS: a=0100 b=0101 cin=0 | carry_out=0 sum=1001
PASS: a=0100 b=0101 cin=1 | carry_out=0 sum=1010
PASS: a=0100 b=0110 cin=0 | carry_out=0 sum=1010
PASS: a=0100 b=0110 cin=1 | carry_out=0 sum=1011
PASS: a=0100 b=0111 cin=0 | carry_out=0 sum=1011
PASS: a=0100 b=0111 cin=1 | carry_out=0 sum=1100
PASS: a=0100 b=1000 cin=0 | carry_out=0 sum=1100
PASS: a=0100 b=1000 cin=1 | carry_out=0 sum=1101
PASS: a=0100 b=1001 cin=0 | carry_out=0 sum=1101
PASS: a=0100 b=1001 cin=1 | carry_out=0 sum=1110
PASS: a=0100 b=1010 cin=0 | carry_out=0 sum=1110
PASS: a=0100 b=1010 cin=1 | carry_out=0 sum=1111
PASS: a=0100 b=1011 cin=0 | carry_out=0 sum=1111
PASS: a=0100 b=1011 cin=1 | carry_out=1 sum=0000
PASS: a=0100 b=1100 cin=0 | carry_out=1 sum=0000
PASS: a=0100 b=1100 cin=1 | carry_out=1 sum=0001
PASS: a=0100 b=1101 cin=0 | carry_out=1 sum=0001
PASS: a=0100 b=1101 cin=1 | carry_out=1 sum=0010
PASS: a=0100 b=1110 cin=0 | carry_out=1 sum=0010
PASS: a=0100 b=1110 cin=1 | carry_out=1 sum=0011
PASS: a=0100 b=1111 cin=0 | carry_out=1 sum=0011
PASS: a=0100 b=1111 cin=1 | carry_out=1 sum=0100
PASS: a=0101 b=0000 cin=0 | carry_out=0 sum=0101
PASS: a=0101 b=0000 cin=1 | carry_out=0 sum=0110
PASS: a=0101 b=0001 cin=0 | carry_out=0 sum=0110
PASS: a=0101 b=0001 cin=1 | carry_out=0 sum=0111
PASS: a=0101 b=0010 cin=0 | carry_out=0 sum=0111
PASS: a=0101 b=0010 cin=1 | carry_out=0 sum=1000
PASS: a=0101 b=0011 cin=0 | carry_out=0 sum=1000
PASS: a=0101 b=0011 cin=1 | carry_out=0 sum=1001
PASS: a=0101 b=0100 cin=0 | carry_out=0 sum=1001
PASS: a=0101 b=0100 cin=1 | carry_out=0 sum=1010
PASS: a=0101 b=0101 cin=0 | carry_out=0 sum=1010
PASS: a=0101 b=0101 cin=1 | carry_out=0 sum=1011
PASS: a=0101 b=0110 cin=0 | carry_out=0 sum=1011
PASS: a=0101 b=0110 cin=1 | carry_out=0 sum=1100
PASS: a=0101 b=0111 cin=0 | carry_out=0 sum=1100
PASS: a=0101 b=0111 cin=1 | carry_out=0 sum=1101
PASS: a=0101 b=1000 cin=0 | carry_out=0 sum=1101
PASS: a=0101 b=1000 cin=1 | carry_out=0 sum=1110
PASS: a=0101 b=1001 cin=0 | carry_out=0 sum=1110
PASS: a=0101 b=1001 cin=1 | carry_out=0 sum=1111
PASS: a=0101 b=1010 cin=0 | carry_out=0 sum=1111
PASS: a=0101 b=1010 cin=1 | carry_out=1 sum=0000
PASS: a=0101 b=1011 cin=0 | carry_out=1 sum=0000
PASS: a=0101 b=1011 cin=1 | carry_out=1 sum=0001
PASS: a=0101 b=1100 cin=0 | carry_out=1 sum=0001
PASS: a=0101 b=1100 cin=1 | carry_out=1 sum=0010
PASS: a=0101 b=1101 cin=0 | carry_out=1 sum=0010
PASS: a=0101 b=1101 cin=1 | carry_out=1 sum=0011
PASS: a=0101 b=1110 cin=0 | carry_out=1 sum=0011
PASS: a=0101 b=1110 cin=1 | carry_out=1 sum=0100
PASS: a=0101 b=1111 cin=0 | carry_out=1 sum=0100
PASS: a=0101 b=1111 cin=1 | carry_out=1 sum=0101
PASS: a=0110 b=0000 cin=0 | carry_out=0 sum=0110
PASS: a=0110 b=0000 cin=1 | carry_out=0 sum=0111
PASS: a=0110 b=0001 cin=0 | carry_out=0 sum=0111
PASS: a=0110 b=0001 cin=1 | carry_out=0 sum=1000
PASS: a=0110 b=0010 cin=0 | carry_out=0 sum=1000
PASS: a=0110 b=0010 cin=1 | carry_out=0 sum=1001
PASS: a=0110 b=0011 cin=0 | carry_out=0 sum=1001
PASS: a=0110 b=0011 cin=1 | carry_out=0 sum=1010
PASS: a=0110 b=0100 cin=0 | carry_out=0 sum=1010
PASS: a=0110 b=0100 cin=1 | carry_out=0 sum=1011
PASS: a=0110 b=0101 cin=0 | carry_out=0 sum=1011
PASS: a=0110 b=0101 cin=1 | carry_out=0 sum=1100
PASS: a=0110 b=0110 cin=0 | carry_out=0 sum=1100
PASS: a=0110 b=0110 cin=1 | carry_out=0 sum=1101
PASS: a=0110 b=0111 cin=0 | carry_out=0 sum=1101
PASS: a=0110 b=0111 cin=1 | carry_out=0 sum=1110
PASS: a=0110 b=1000 cin=0 | carry_out=0 sum=1110
PASS: a=0110 b=1000 cin=1 | carry_out=0 sum=1111
PASS: a=0110 b=1001 cin=0 | carry_out=0 sum=1111
PASS: a=0110 b=1001 cin=1 | carry_out=1 sum=0000
PASS: a=0110 b=1010 cin=0 | carry_out=1 sum=0000
PASS: a=0110 b=1010 cin=1 | carry_out=1 sum=0001
PASS: a=0110 b=1011 cin=0 | carry_out=1 sum=0001
PASS: a=0110 b=1011 cin=1 | carry_out=1 sum=0010
PASS: a=0110 b=1100 cin=0 | carry_out=1 sum=0010
PASS: a=0110 b=1100 cin=1 | carry_out=1 sum=0011
PASS: a=0110 b=1101 cin=0 | carry_out=1 sum=0011
PASS: a=0110 b=1101 cin=1 | carry_out=1 sum=0100
PASS: a=0110 b=1110 cin=0 | carry_out=1 sum=0100
PASS: a=0110 b=1110 cin=1 | carry_out=1 sum=0101
PASS: a=0110 b=1111 cin=0 | carry_out=1 sum=0101
PASS: a=0110 b=1111 cin=1 | carry_out=1 sum=0110
PASS: a=0111 b=0000 cin=0 | carry_out=0 sum=0111
PASS: a=0111 b=0000 cin=1 | carry_out=0 sum=1000
PASS: a=0111 b=0001 cin=0 | carry_out=0 sum=1000
PASS: a=0111 b=0001 cin=1 | carry_out=0 sum=1001
PASS: a=0111 b=0010 cin=0 | carry_out=0 sum=1001
PASS: a=0111 b=0010 cin=1 | carry_out=0 sum=1010
PASS: a=0111 b=0011 cin=0 | carry_out=0 sum=1010
PASS: a=0111 b=0011 cin=1 | carry_out=0 sum=1011
PASS: a=0111 b=0100 cin=0 | carry_out=0 sum=1011
PASS: a=0111 b=0100 cin=1 | carry_out=0 sum=1100
PASS: a=0111 b=0101 cin=0 | carry_out=0 sum=1100
PASS: a=0111 b=0101 cin=1 | carry_out=0 sum=1101
PASS: a=0111 b=0110 cin=0 | carry_out=0 sum=1101
PASS: a=0111 b=0110 cin=1 | carry_out=0 sum=1110
PASS: a=0111 b=0111 cin=0 | carry_out=0 sum=1110
PASS: a=0111 b=0111 cin=1 | carry_out=0 sum=1111
PASS: a=0111 b=1000 cin=0 | carry_out=0 sum=1111
PASS: a=0111 b=1000 cin=1 | carry_out=1 sum=0000
PASS: a=0111 b=1001 cin=0 | carry_out=1 sum=0000
PASS: a=0111 b=1001 cin=1 | carry_out=1 sum=0001
PASS: a=0111 b=1010 cin=0 | carry_out=1 sum=0001
PASS: a=0111 b=1010 cin=1 | carry_out=1 sum=0010
PASS: a=0111 b=1011 cin=0 | carry_out=1 sum=0010
PASS: a=0111 b=1011 cin=1 | carry_out=1 sum=0011
PASS: a=0111 b=1100 cin=0 | carry_out=1 sum=0011
PASS: a=0111 b=1100 cin=1 | carry_out=1 sum=0100
PASS: a=0111 b=1101 cin=0 | carry_out=1 sum=0100
PASS: a=0111 b=1101 cin=1 | carry_out=1 sum=0101
PASS: a=0111 b=1110 cin=0 | carry_out=1 sum=0101
PASS: a=0111 b=1110 cin=1 | carry_out=1 sum=0110
PASS: a=0111 b=1111 cin=0 | carry_out=1 sum=0110
PASS: a=0111 b=1111 cin=1 | carry_out=1 sum=0111
PASS: a=1000 b=0000 cin=0 | carry_out=0 sum=1000
PASS: a=1000 b=0000 cin=1 | carry_out=0 sum=1001
PASS: a=1000 b=0001 cin=0 | carry_out=0 sum=1001
PASS: a=1000 b=0001 cin=1 | carry_out=0 sum=1010
PASS: a=1000 b=0010 cin=0 | carry_out=0 sum=1010
PASS: a=1000 b=0010 cin=1 | carry_out=0 sum=1011
PASS: a=1000 b=0011 cin=0 | carry_out=0 sum=1011
PASS: a=1000 b=0011 cin=1 | carry_out=0 sum=1100
PASS: a=1000 b=0100 cin=0 | carry_out=0 sum=1100
PASS: a=1000 b=0100 cin=1 | carry_out=0 sum=1101
PASS: a=1000 b=0101 cin=0 | carry_out=0 sum=1101
PASS: a=1000 b=0101 cin=1 | carry_out=0 sum=1110
PASS: a=1000 b=0110 cin=0 | carry_out=0 sum=1110
PASS: a=1000 b=0110 cin=1 | carry_out=0 sum=1111
PASS: a=1000 b=0111 cin=0 | carry_out=0 sum=1111
PASS: a=1000 b=0111 cin=1 | carry_out=1 sum=0000
PASS: a=1000 b=1000 cin=0 | carry_out=1 sum=0000
PASS: a=1000 b=1000 cin=1 | carry_out=1 sum=0001
PASS: a=1000 b=1001 cin=0 | carry_out=1 sum=0001
PASS: a=1000 b=1001 cin=1 | carry_out=1 sum=0010
PASS: a=1000 b=1010 cin=0 | carry_out=1 sum=0010
PASS: a=1000 b=1010 cin=1 | carry_out=1 sum=0011
PASS: a=1000 b=1011 cin=0 | carry_out=1 sum=0011
PASS: a=1000 b=1011 cin=1 | carry_out=1 sum=0100
PASS: a=1000 b=1100 cin=0 | carry_out=1 sum=0100
PASS: a=1000 b=1100 cin=1 | carry_out=1 sum=0101
PASS: a=1000 b=1101 cin=0 | carry_out=1 sum=0101
PASS: a=1000 b=1101 cin=1 | carry_out=1 sum=0110
PASS: a=1000 b=1110 cin=0 | carry_out=1 sum=0110
PASS: a=1000 b=1110 cin=1 | carry_out=1 sum=0111
PASS: a=1000 b=1111 cin=0 | carry_out=1 sum=0111
PASS: a=1000 b=1111 cin=1 | carry_out=1 sum=1000
PASS: a=1001 b=0000 cin=0 | carry_out=0 sum=1001
PASS: a=1001 b=0000 cin=1 | carry_out=0 sum=1010
PASS: a=1001 b=0001 cin=0 | carry_out=0 sum=1010
PASS: a=1001 b=0001 cin=1 | carry_out=0 sum=1011
PASS: a=1001 b=0010 cin=0 | carry_out=0 sum=1011
PASS: a=1001 b=0010 cin=1 | carry_out=0 sum=1100
PASS: a=1001 b=0011 cin=0 | carry_out=0 sum=1100
PASS: a=1001 b=0011 cin=1 | carry_out=0 sum=1101
PASS: a=1001 b=0100 cin=0 | carry_out=0 sum=1101
PASS: a=1001 b=0100 cin=1 | carry_out=0 sum=1110
PASS: a=1001 b=0101 cin=0 | carry_out=0 sum=1110
PASS: a=1001 b=0101 cin=1 | carry_out=0 sum=1111
PASS: a=1001 b=0110 cin=0 | carry_out=0 sum=1111
PASS: a=1001 b=0110 cin=1 | carry_out=1 sum=0000
PASS: a=1001 b=0111 cin=0 | carry_out=1 sum=0000
PASS: a=1001 b=0111 cin=1 | carry_out=1 sum=0001
PASS: a=1001 b=1000 cin=0 | carry_out=1 sum=0001
PASS: a=1001 b=1000 cin=1 | carry_out=1 sum=0010
PASS: a=1001 b=1001 cin=0 | carry_out=1 sum=0010
PASS: a=1001 b=1001 cin=1 | carry_out=1 sum=0011
PASS: a=1001 b=1010 cin=0 | carry_out=1 sum=0011
PASS: a=1001 b=1010 cin=1 | carry_out=1 sum=0100
PASS: a=1001 b=1011 cin=0 | carry_out=1 sum=0100
PASS: a=1001 b=1011 cin=1 | carry_out=1 sum=0101
PASS: a=1001 b=1100 cin=0 | carry_out=1 sum=0101
PASS: a=1001 b=1100 cin=1 | carry_out=1 sum=0110
PASS: a=1001 b=1101 cin=0 | carry_out=1 sum=0110
PASS: a=1001 b=1101 cin=1 | carry_out=1 sum=0111
PASS: a=1001 b=1110 cin=0 | carry_out=1 sum=0111
PASS: a=1001 b=1110 cin=1 | carry_out=1 sum=1000
PASS: a=1001 b=1111 cin=0 | carry_out=1 sum=1000
PASS: a=1001 b=1111 cin=1 | carry_out=1 sum=1001
PASS: a=1010 b=0000 cin=0 | carry_out=0 sum=1010
PASS: a=1010 b=0000 cin=1 | carry_out=0 sum=1011
PASS: a=1010 b=0001 cin=0 | carry_out=0 sum=1011
PASS: a=1010 b=0001 cin=1 | carry_out=0 sum=1100
PASS: a=1010 b=0010 cin=0 | carry_out=0 sum=1100
PASS: a=1010 b=0010 cin=1 | carry_out=0 sum=1101
PASS: a=1010 b=0011 cin=0 | carry_out=0 sum=1101
PASS: a=1010 b=0011 cin=1 | carry_out=0 sum=1110
PASS: a=1010 b=0100 cin=0 | carry_out=0 sum=1110
PASS: a=1010 b=0100 cin=1 | carry_out=0 sum=1111
PASS: a=1010 b=0101 cin=0 | carry_out=0 sum=1111
PASS: a=1010 b=0101 cin=1 | carry_out=1 sum=0000
PASS: a=1010 b=0110 cin=0 | carry_out=1 sum=0000
PASS: a=1010 b=0110 cin=1 | carry_out=1 sum=0001
PASS: a=1010 b=0111 cin=0 | carry_out=1 sum=0001
PASS: a=1010 b=0111 cin=1 | carry_out=1 sum=0010
PASS: a=1010 b=1000 cin=0 | carry_out=1 sum=0010
PASS: a=1010 b=1000 cin=1 | carry_out=1 sum=0011
PASS: a=1010 b=1001 cin=0 | carry_out=1 sum=0011
PASS: a=1010 b=1001 cin=1 | carry_out=1 sum=0100
PASS: a=1010 b=1010 cin=0 | carry_out=1 sum=0100
PASS: a=1010 b=1010 cin=1 | carry_out=1 sum=0101
PASS: a=1010 b=1011 cin=0 | carry_out=1 sum=0101
PASS: a=1010 b=1011 cin=1 | carry_out=1 sum=0110
PASS: a=1010 b=1100 cin=0 | carry_out=1 sum=0110
PASS: a=1010 b=1100 cin=1 | carry_out=1 sum=0111
PASS: a=1010 b=1101 cin=0 | carry_out=1 sum=0111
PASS: a=1010 b=1101 cin=1 | carry_out=1 sum=1000
PASS: a=1010 b=1110 cin=0 | carry_out=1 sum=1000
PASS: a=1010 b=1110 cin=1 | carry_out=1 sum=1001
PASS: a=1010 b=1111 cin=0 | carry_out=1 sum=1001
PASS: a=1010 b=1111 cin=1 | carry_out=1 sum=1010
PASS: a=1011 b=0000 cin=0 | carry_out=0 sum=1011
PASS: a=1011 b=0000 cin=1 | carry_out=0 sum=1100
PASS: a=1011 b=0001 cin=0 | carry_out=0 sum=1100
PASS: a=1011 b=0001 cin=1 | carry_out=0 sum=1101
PASS: a=1011 b=0010 cin=0 | carry_out=0 sum=1101
PASS: a=1011 b=0010 cin=1 | carry_out=0 sum=1110
PASS: a=1011 b=0011 cin=0 | carry_out=0 sum=1110
PASS: a=1011 b=0011 cin=1 | carry_out=0 sum=1111
PASS: a=1011 b=0100 cin=0 | carry_out=0 sum=1111
PASS: a=1011 b=0100 cin=1 | carry_out=1 sum=0000
PASS: a=1011 b=0101 cin=0 | carry_out=1 sum=0000
PASS: a=1011 b=0101 cin=1 | carry_out=1 sum=0001
PASS: a=1011 b=0110 cin=0 | carry_out=1 sum=0001
PASS: a=1011 b=0110 cin=1 | carry_out=1 sum=0010
PASS: a=1011 b=0111 cin=0 | carry_out=1 sum=0010
PASS: a=1011 b=0111 cin=1 | carry_out=1 sum=0011
PASS: a=1011 b=1000 cin=0 | carry_out=1 sum=0011
PASS: a=1011 b=1000 cin=1 | carry_out=1 sum=0100
PASS: a=1011 b=1001 cin=0 | carry_out=1 sum=0100
PASS: a=1011 b=1001 cin=1 | carry_out=1 sum=0101
PASS: a=1011 b=1010 cin=0 | carry_out=1 sum=0101
PASS: a=1011 b=1010 cin=1 | carry_out=1 sum=0110
PASS: a=1011 b=1011 cin=0 | carry_out=1 sum=0110
PASS: a=1011 b=1011 cin=1 | carry_out=1 sum=0111
PASS: a=1011 b=1100 cin=0 | carry_out=1 sum=0111
PASS: a=1011 b=1100 cin=1 | carry_out=1 sum=1000
PASS: a=1011 b=1101 cin=0 | carry_out=1 sum=1000
PASS: a=1011 b=1101 cin=1 | carry_out=1 sum=1001
PASS: a=1011 b=1110 cin=0 | carry_out=1 sum=1001
PASS: a=1011 b=1110 cin=1 | carry_out=1 sum=1010
PASS: a=1011 b=1111 cin=0 | carry_out=1 sum=1010
PASS: a=1011 b=1111 cin=1 | carry_out=1 sum=1011
PASS: a=1100 b=0000 cin=0 | carry_out=0 sum=1100
PASS: a=1100 b=0000 cin=1 | carry_out=0 sum=1101
PASS: a=1100 b=0001 cin=0 | carry_out=0 sum=1101
PASS: a=1100 b=0001 cin=1 | carry_out=0 sum=1110
PASS: a=1100 b=0010 cin=0 | carry_out=0 sum=1110
PASS: a=1100 b=0010 cin=1 | carry_out=0 sum=1111
PASS: a=1100 b=0011 cin=0 | carry_out=0 sum=1111
PASS: a=1100 b=0011 cin=1 | carry_out=1 sum=0000
PASS: a=1100 b=0100 cin=0 | carry_out=1 sum=0000
PASS: a=1100 b=0100 cin=1 | carry_out=1 sum=0001
PASS: a=1100 b=0101 cin=0 | carry_out=1 sum=0001
PASS: a=1100 b=0101 cin=1 | carry_out=1 sum=0010
PASS: a=1100 b=0110 cin=0 | carry_out=1 sum=0010
PASS: a=1100 b=0110 cin=1 | carry_out=1 sum=0011
PASS: a=1100 b=0111 cin=0 | carry_out=1 sum=0011
PASS: a=1100 b=0111 cin=1 | carry_out=1 sum=0100
PASS: a=1100 b=1000 cin=0 | carry_out=1 sum=0100
PASS: a=1100 b=1000 cin=1 | carry_out=1 sum=0101
PASS: a=1100 b=1001 cin=0 | carry_out=1 sum=0101
PASS: a=1100 b=1001 cin=1 | carry_out=1 sum=0110
PASS: a=1100 b=1010 cin=0 | carry_out=1 sum=0110
PASS: a=1100 b=1010 cin=1 | carry_out=1 sum=0111
PASS: a=1100 b=1011 cin=0 | carry_out=1 sum=0111
PASS: a=1100 b=1011 cin=1 | carry_out=1 sum=1000
PASS: a=1100 b=1100 cin=0 | carry_out=1 sum=1000
PASS: a=1100 b=1100 cin=1 | carry_out=1 sum=1001
PASS: a=1100 b=1101 cin=0 | carry_out=1 sum=1001
PASS: a=1100 b=1101 cin=1 | carry_out=1 sum=1010
PASS: a=1100 b=1110 cin=0 | carry_out=1 sum=1010
PASS: a=1100 b=1110 cin=1 | carry_out=1 sum=1011
PASS: a=1100 b=1111 cin=0 | carry_out=1 sum=1011
PASS: a=1100 b=1111 cin=1 | carry_out=1 sum=1100
PASS: a=1101 b=0000 cin=0 | carry_out=0 sum=1101
PASS: a=1101 b=0000 cin=1 | carry_out=0 sum=1110
PASS: a=1101 b=0001 cin=0 | carry_out=0 sum=1110
PASS: a=1101 b=0001 cin=1 | carry_out=0 sum=1111
PASS: a=1101 b=0010 cin=0 | carry_out=0 sum=1111
